cue	سرنخ - سرنخ دادن
spinal column	ستون فقرات - spine - backbone
barbed wire	سیم خاردار
pension sb off	بازنشسته کردن
turnout	جمعیت
obesity	چاقی مفرط
chiropractor	پزشک مفاصل
ventilate	تهویه کردن - علنی اعلام کردن
jeopardize	به مخاطره انداختن
municipal	مربوط به شهر - شهری
porch	ایوان
lever	اهرم - دستگیره
cut down	کاهش دادن
complacent	آسوده خاطر - غَرّه
rehabilitate	توانبخشی کردن - ترمیم کردن
parole	آزادی مشروط
multitude	تعداد زیاد - جمعیت فراوان
nominate	کاندید کردن - منصوب کردن - انتخاب کردن
morgue	سردخانه اجساد
preoccupy	ذهن را مشغول کردن
upholstery	روکش مبلمان
indifference	بی علاقگی - بی توجهی
disrespect	بی احترامی
forgery	جعل
snub	کم محلی کردن
wrath	خشم زیاد
ponder	عمیقا فکر کردن
resign	کناره گیری کردن - استعفا دادن
drastic	موثر - اساسی
wharf	بارانداز - اسکله
ballot	رای گیری - رای گیری (محرمانه) انجام دادن
kidnap	آدم ربایی کردن - abduct
pirate	دزد دریای - دزد ادبی
abduction	آدم ربایی - kidnapping
accumulate	روی هم انباشتن
advent	ظهور - پیدایش
adverse	بد - نامطلوب - نامساعد
affection	عاطفه - علاقه
affluence	وفور نعمت - فراوانی ثروت
aggravate	بدتر کردن - آزار دادن
agnostic	لاادری
allegedly	بنابر گفته مردم
allegiance	وفاداری - loyalty
amateurish	ناشیانه
ancestral	اجدادی
anesthesia	بیهوشی
animism	اعتقاد به روح
annex / annexe	ضمیمه - ضمیمه کردن - ساختمان فرعی
antipathy	بیزاری - انزجار
apex	نقطه اوج - راس - قله
apprehend	دستگیر کردن - دریافتن
arrogant	خود برتربین
artillery	توپ (جنگی) - رسته توپخانه
ascertain	معلوم کردن - اثبات کردن
assail	حمله کردن - هجوم بردن
assimilate	درک کردن - جذب (بقیه) شدن
astrology	طالع بینی نجومی
atheist	منکر وجود خدا
augment	تقویت کردن - افزودن
be inclined to	مایل بودن به
berate	سرزنش کردن
bribery	رشوه دادن
bureaucratic	بروکراتیک
capricious	دمدمی مزاج
cartel	اتحاد مافیایی کمپانی های یک محصول - کارتل
clique	دار و دسته
coalition	ائتلاف
coerce	به زور مجبور کردن
cohesion	پیوستگی - همبستگی
combustion	احتراق - اشتعال
compensate	جبران کردن - غرامت دادن
condemn	محکوم کردن - نکوهش کردن
confide	گفتن (مسایل شخصی یا محرمانه به دیگران)
connotation	معنای ضمنی
contemplate	فکر کردن - اندیشیدن
contemptuous	اهانت آمیز
convict	محکوم - محکوم دانستن
corrode	خورده شدن (شیمیایی)
cremation	سوزاندن مرده
cumbersome	بزرگ و سنگین
curriculum	برنامه تحصیلی - برنامه آموزشی
cynical	بدبین - بدگمان
decrepit	پیر - فرتوت
deify	پرستیدن
delinquency	کوتاهی - بزهکاری
denominator	مخرج - مقسوم علیه
descendant	نواده - نسل
despise	به شدت نفرت داشتن
despondent	مایوس و غمگین - dejected
detain	بازداشت کردن - معطل کردن
deviant	منحرف
devotion	دلبستگی - وقف - اختصاص
divination	فال گیری - پیش گویی
ecclesiastical	مربوط به کلیسا
elementally	basically
elite	ممتاز - نخبه
engender	ایجاد کردن
equity	سهم (سرمایه گذار) - برابری
erode	فرسودن
erudite	highly educated - عالم
eruption	فوران
esthetically / aesthetically	از نظر زیبایی شناختی
evade	فرار کردن ـ طفره رفتن
expeditiously	سریعا
exponentially	نمایی
extinction	انقراض
fabulous	خیلی خوب - خیلی عالی - افسانه ای
fertilize	بارور کردن - حاصلخیز کردن
fortify	مستحکم کردن - نیرومند کردن
fossilize	فسیل شدن - سنگ شدن
fringe	لبه - حاشیه
gala	جشن یا تفریح عمومی
gut	دل و روده - دل و روده چیزی را بیرون کشیدن
haggle	چانه زدن (سر قیمت)
haunt	مدام جلوی چشم ظاهر شدن
hedonistic	لذت گرایانه
hilarious	خنده دار
humiliation	تحقیر - احساس حقارت
hypocritically	ریاکارانه
illiterate	بی سواد
implicate	دلالت کردن بر (چیز منفی) - متهم کردن
impoverish	فقیر کردن
inaugurate	افتتاح کردن - آغاز به کار کردن
incompetent	بی مهارت - نالایق
indisputable	مسلما - بی چون و چرا
infinitesimal	بی نهایت کوچک
ingenious	مبتکر ـ مبتکرانه ـ هوشمندانه
inscription	کتیبه - سنگ نوشته
integrally	یکپارچه
intensify	تشدید کردن
interdict	قدغن کردن
intermediary	واسطه
intrepid	نترس - شجاع
intrusively	به صورت دخالت آمیز - به صورت مزاحمت آمیز
intuitively	به طور حسی - شهودی
invasive	تهاجمی
juxtapose	کنار هم گذاشتن
kin	خویشاوند
lease	اجاره - اجاره (بلند مدت) کردن یا دادن
liability	مسئولیت - درد سر - مجموع دارایی و بدهی
meditate	تفکر و تعمق کردن - در سر پروراندن
milieu	محیط اجتماعی
misconception	تصور غلط
nobility	اصالت خانوادگی - طبقه نجبا
nucleus	هسته
obese	خیلی چاق
obnoxious	ناخوشایند و آزار دهنده
oppress	ستم کردن - تحت فشار قرار دادن
parochial	محلی - کوتاه فکر
passion	احساس (علاقه، عشق، عصبانیت، یا نفرت) شدید
paternal	پدری - پدرانه
per capita	for each person - سرانه
permeate	نشت کردن - رسوخ کردن
persevere	پشتکار داشتن
phantom	شبح - فانتوم
pious	پرهیزکار - دیندار
piracy	دزدی دریایی - دزدی ادبی
plunge	شیرجه زدن - سقوط کردن - سقوط
poll	نظرسنجی کردن
portrayal	تصویر - تصویر سازی
potent	قوی - نیرومند
precipitation	بارش
predicament	مخمصه
prestige	اعتبار و منزلت - پرستیج
prognosis	پیش بینی (مراحل بیماری)
proliferation	ازدیاد - تکثیر
proportionately	به تناسب
proprietor	مالک - صاحب
prosper	موفق شدن - شکوفا شدن
proximity	مجاورت - نزدیکی
psychic	روانی - روحی - ذهنی
rebel	شورشی - شورش کردن - نافرمان
reciprocity	کمک متقابل - سود متقابل
reconciliation	آشتی - مصالحه
relic	آثار باستانی
residual	ته مانده - باقی مانده
rigor	سخت گیری - دقت زیاد
rite	تشریفات - مراسم
ritually	بر اساس آیین و تشریفات
roster	سیاهه - لیست
spectacular	تماشایی - very impressive
sacrifice	قربانی - قربانی کردن
safeguard	حفاظت کردن - حفاظ - محافظ
saga	داستان قدیمی - حماسه
scandal	رسوایی
secular	سکولار - غیر مذهبی - دنیوی
seep	تراوش کردن - نشت کردن
seize	توقیف کردن - تصرف کردن
sentiment	تمایل - احساس - باور احساسی
shrink	آب رفتن - کوچک شدن
shuttle	شاتل - بین دو مکان رفتن و برگشتن
sibling	خواهر یا برادر
skit	نمایش کوتاه (معمولا شاد)
smuggle	قاچاق کردن
solidarity	همبستگی و اتحاد
status quo	وضع موجود - وضع کنونی
striking	جالب و جذاب
subtly	با زیرکی
unleash	رها کردن
verdict	رای هیئت منصفه - رای قاضی
vestige	نشانه - رد - بقایا
villainy	تبه کاری - جنایت
vitriolic	آکنده از عصبانیت یا تنفر
working class	طبقه کارگر
zeal	علاقه شدید - ذوق و شوق
tenant	مستاجر
alien	بیگانه - خارجی - نا آشنا
elaborate	پُر جزییات و پیچیده - با جزییات شرح دادن
charm	جذابیت
hostile	خصمانه ـ مخالف - دشمن
parasite	انگل - پارازیت
parasitic	انگلی - پارازیتی
contagion	سرایت ـ شیوع
viral	ویروسی
axe	تبر ـ با تبر قطع کردن
orthogonal	عمود بر هم ـ قائم الزاویه
rational	منطقی - عاقلانه
rationale	دلیل - منطق
fume	دود تولید کردن - (از چیزی) عصبانی شدن
residence	مسکن - اقامتگاه - سکونت
torrential	سیل آسا
abbreviate	خلاصه کردن - مختصر کردن
trophic	غذایی - وابسته به تغذیه
herbivore	گیاه خوار
carnivore	گوشت خوار
omnivore	همه چیز خوار
detritivore	پسماند خوار
detritus	پسماند
mite	کرم ریز
termite	موریانه
centipede	هزار پا
vulture	کرکس - لاشخور
excrete	دفع کردن - پس دادن
fungi / fungus	قارچ
rot	پوسیدن - فاسد کردن
oceanic	اقیانوسی
antarctic	جنوبگان - مربوط به قطب جنوب
livestock	چارپایان اهلی - دام
crustacean	سخت پوست
cattle	گله گاو
biomass	زیست توده - سوخت زیستی
acre	جریب (معادل ۴۰۴۷ متر مربع)
acreage	مساحت زمین بر حسب جریب
hog	خوک پرورشی
dairy	لبنیاتی
pasture	چراگاه
outlet	خروجی (برق، گاز، ...) - راه خروج - بازار فروش
put (sth) on	پوشیدن (لباس) - روشن کردن (یک وسیله)
put sth away	بعد از استفاده از چیزی، آن را در جایش قرار دادن
put sth back	چیزی را در جای خود قرار دادن
put sth forward	جلو انداختن
take sth back	پس دادن جنس خریداری شده
take sb on	استخدام کردن
adolescence	نوجوانی
adulthood	بزرگسالی
brotherhood	برادری
resemblance	تشابه
rivalry	رقابت
temperament	خلق و خو
ties	پیوند
immediate family	بستگان درجه یک
maternal	مادری - مادرانه
close-knit	متحد و به هم پیوسته
rewarding	ارزشمند
break down	شکست خوردن - از کار افتادن
have sth in common	وجه مشترک داشتن
nurture	پرورش - پرورش دادن
toddler	کودک تازه راه افتاده - خردسال
clumsy	دست و پا چلفتی - بد ترکیب
fond	شیفته - مشتاق
fully-grown	بالغ - رشد کرده
larva	لارو
irresponsible	بی مسئولیت
patient	صبور - بیمار
rebellious	سرکش - آشوب گر
tolerant	شکیبا - سازگار
look back	به گذشته فکر کردن
reminisce	یاد آوری (خاطرات خوب گذشته)
throw a tantrum / have a tantrum	کج خلقی کردن
bear in mind	به خاطر داشتن
broaden	گسترده کردن - عریض کردن
put mind at ease	به ذهن استراحت دادن
artery	شریان - سرخ رگ
craving	اشتیاق شدید
dietician	متخصص تغذیه
infect	آلوده کردن - عفونی کردن
intake	میزان مصرف - میزان ورودی - مجرای ورودی
nutrition	تغذیه - مواد غذایی
onset	یورش - آغاز - شروع
serving	پرس - وعده - عملِ سرو کردن
therapy	معالجه - درمان
brisk	سریع
infectious	آلوده کننده - واگیر دار
moderate	متوسط - معتدل - میانه
persistent	مصر - پایدار - مداوم
vital	حیاتی - مهم
counteract	بی اثر کردن
cure	درمان کردن
disrupt	مختل کردن
overdo	به حد افراط رساندن
overeat	پر خوری کردن
daily routine	فعالیت های روزمره
outlook	دیدگاه - چشم انداز - منظره
risk-taker	ریسک پذیر
lead	هدایت کردن - منجر شدن - سُرب
live life on the edge	خطر کردن به قصد تفریح
live life to the full	از زندگی لذت کامل بردن
meet a need	نیازی را برآورده کردن
all walks of life	تمام اقشار جامعه
thesis	پایان نامه
dissertation	رساله دکتری
nursery	مهد کودک - اتاق کودک
tutor	معلم خصوصی - مربی دانشگاه
eligible	مناسب - شایسته - واجد شرایط
studious	درس خوان
struggle	سخت تلاش کردن - جنگیدن
conjecture	حدس - حدس زدن - گمانه زنی
linguistics	زبان شناسی
sign language	زبان اشاره ناشنوایان
inherent	ذاتی - درونی - intrinsic
state	وضعیت - حالت - دولت - بیان کردن
needless to say	نیاز به گفتن نیست (که)
have a say	اجازه اظهار نظر داشتن
eco-tourism	اقتصاد گردشگری
itinerary	برنامه زمانبندی
journey	سفر (طولانی یا مرتب)
budget	بودجه - بودجه بندی کردن
breathtaking	مهیج و نفس گیر
picturesque	زیبا و قدیمی
quaint	عجیب و جالب
scenic	مربوط به مناظر طبیعی
stunning	بسیار جذاب یا زیبا
archaeology	باستان شناسی
excavation	حفاری
the Middle Ages	قرون وسطی (قرن پنجم تا پانزدهم)
chronological	مرتب شده به ترتیب زمانی
consecutive	متوالی - sequential
imminent	قریب الوقوع
prehistoric	ماقبل تاریخ
predate	قبل از چیزی در تاریخ وجود داشتن یا واقع شدن
span	مدت - گستره - دهانه - پهنا
lose track of time	گذشت زمان را فراموش کردن
in time	در مدت مورد نیاز
on time	در زمان مقرر
subsequently	متعاقبا - بعدا
animal kingdom	قلمرو حیوانات
burrow	سوراخ در زمین حفر کردن - سوراخ لانه حیوانات
den	لانه جانوران - پاتوق مخفی
ecological	مربوط به محیط زیست
fauna	جانوران (یک منطقه زیستی)
flora	گیاهان (یک منطقه زیستی)
pesticide	آفت کش
prey	شکار - صید - قربانی
repercussion	پیامد - عواقب
arid	خشک
catastrophic	فاجعه آمیز
extinct	منقرض شده
combat	جنگیدن - مبارزه کردن
eradicate	ریشه کن کردن
hibernate	خواب زمستانی رفتن
coup	کودتا
astronaut	فضا نورد
cosmos	جهان هستی
crater	گودال - دهانه آتشفشان
launch	پرتاب - پرتاب کردن - راه انداختن
meteor	شهاب
orbit	مدار - در مدار چرخیدن
outer space	فضای خارج از جو زمین
radiation	تشعشع - تابش
weightlessness	بی وزنی
cosmic	کیهانی - بسیار بزرگ
gravitational	گرانشی
lunar	قمری - مربوط به ماه
meteoric	شهابی - سریع و ناگهانی
unmanned	بی سرنشین
acclimatize	خو کردن - عادت کردن
colonize	ساکن شدن - تحت استعمار درآوردن
propel	جلو بردن - هل دادن
gadget	ابزار
housing	مسکن - مسکن سازی
landmark	بنای تاریخی
quarry	معدن سنگ
cosy / cozy	راحت و گرم و نرم
cramped	در هم فشرده - پر ازدحام
disposable	یک بار مصرف - آماده برای مصرف
futuristic	متعلق به آینده
high-rise	برج - (ساختمان) بلند
mass-produced	تولید انبوه
multi-story / multi-storey	چند طبقه
ornate	آراسته و پر آذین
prefabricated	پیش ساخته
single-story / single-storey	(دارای) یک طبقه
demolish	تخریب کردن - ویران کردن
haul	کشان کشان بردن
hoist	بالا کشیدن - بالا بردن
renovate	بازسازی کردن
cutting-edge	پیشرفته ترین
dated	دارای تاریخ - از مُد افتاده
labor-saving	راحت کننده انجام کار - کم کننده کار انسانی
envisage	تصور کردن - تجسم کردن
speculate	خرید و فروش پر ریسک انجام دادن - گمانه زنی کردن
demographic	جمعیت - جمعیتی
globalization / globalisation	جهانی شدن
icon	آیکون - نماد
projection	تخمین آینده
ageing	پیر شدن - رو به پیری
elderly	مُسن
sceptical	شکاک
compound	ترکیب - ترکیب کردن - بدتر کردن
resolution	تصمیم - حل و فصل (مشکل)
setback	مشکلی که باعث به عقب رفتن میشود
tolerance	شکیبایی - دامنه تحمل
decent	مودب - با کیفیت مناسب
long-sighted	چشم دوربین
overpriced	بیش از حد گران
short-sighted	نزدیک بین
staggering	غیر قابل باور (به دلیل زیاد بودن)
deal with	handle - پرداختن (به موضوعی) - معامله کردن
exacerbate	بدتر کردن - worsen
remedy	درمان - درمان کردن - چاره - چاره کردن
worsen	بدتر کردن
find a compromise / reach a compromise	مصالحه کردن - به توافق رسیدن
firm	بنگاه - شرکت - محکم - قطعی
biodiversity	تنوع زیستی
contamination	آلودگی
pollutant	آلاینده
devastating	ویرانگر - تاثیر گذار
fruitless	بی ثمر - بی حاصل
futile	بیهوده
impracticable	غیر عملی
insoluble	غیر قابل حل
irreparable	جبران ناپذیر - ترمیم ناپذیر
pervasive	فراگیر
pristine	دست نخورده - تر و تازه
questionable	قابل تردید - مشکوک
taxing	انرژی بَر
unprecedented	بی سابقه
worthwhile	دارای ارزش
dump	رها کردن - دور ریختن
inexorably	بی وقفه - بدون تغییر
greenhouse gas	گازهای گلخانه ای
turbine	توربین
critical	انتقادی - بحرانی
eco-friendly	دوستار محیط زیست
unleaded	بدون سرب
counter	شمارنده - پیشخوان - مقابله کردن
discharge	مرخص کردن - تخلیه کردن
emit	منتشر کردن - بیرون دادن
expend	صرف کردن - به کار بردن
campaign	کمپین
career	مسیر شغلی یک نفر
clerk	منشی - دبیر - کارمند دفتری
colleague	همکار
credibility	اعتبار - اعتماد
laborer	کارگر
niche	جایگاه مناسب - تاقچه
overtime	اضافه کاری - وقت اضافه
perk	مزایا (در کنار حقوق)
shift work	کار شیفتی
demanding	طاقت فرسا - دشوار - پر توقع
hospitality	مهمان نوازی - پذیرایی
monotonous	یکنواخت و کسل کننده
to be promoted	ترفیع گرفتن
arson	آتش زدن (مجرمانه)
burglary	سرقت از منزل
deterrent	باز دارنده
imprisonment	زندانی بودن
sentence	حکم - حکم صادر کردن - جمله
intent	قصد - نیت - intention
jury	هیئت منصفه - هیئت داوران
pickpocket	جیب بُر
property crime	جرایم مالی
prosecutor	دادستان
accused	متهم
toxic waste	ضایعات سمی
drug-related	مربوط به مواد مخدر
evil	شیطانی - بد - شر
law-abiding	قانون مند
on trial	تحت محاکمه
petty	کوچک - minor
strict	سخت گیر - سختگیرانه
deter	(با ترساندن) منصرف کردن
imprison	زندانی کردن
perpetrate	مرتکب شدن
commit a crime	مرتکب جرمی شدن
pass a law	قانون وضع کردن
current affairs	امور جاری - مسایل جاری
free press	مطبوعات بدون سانسور
mass media	رسانه های جمعی
newsstand	دکه روزنامه فروشی
paparazzi	عکاس افراد مشهور (بدون اجازه)
publicity	تبلیغ - شهرت
relevance	ارتباط - وابستگی
tabloid	روزنامه زرد
attention-grabbing	جذاب
controversial	بحث انگیز
factual	مستند - واقعی
mainstream	جریان اصلی (عقاید، ...) - مسیر اصلی
superficial	سطحی - کم عمق
biased	متمایل (به یک طرف) - جهت دار
unbiased	غیر متمایل - غیر متعصب
invade	هجوم بردن
publicize	به اطلاع عموم رساندن - تبلیغ کردن
artefact / artifact	اثر مصنوع
conception	تصور - مفهوم - لقاح
craft	مهارت - حرفه - کشتی - هواپیما
intimacy	صمیمیت
performing arts	هنرهای نمایشی (مانند رقص یا تئاتر)
play	نمایشنامه - بازی کردن - نقش بازی کردن
portrait	پرتره - تصویر چهره
stimulus	انگیزه - محرک
theme	موضوع - تم
venue	محل برگزاری
accomplished	انجام شده - ماهر
burgeon	رشد یا توسعه سریع کردن
eclectic	گلچین شده
mundane	معمولی و کسل کننده
enrich	غنی کردن - ثروتمند کردن
provoke	برانگیختن - خشمگین کردن
tyre	لاستیک (بریتیش)
majesty	اعلیحضرت - عظمت و شکوه
unripe	کال - نارس
deep	عمیق
leopard	پلنگ
derive from sth	مشتق شدن از - حاصل شدن از
institute	موسسه - آغاز کردن - بنیان نهادن
cleave	شکافتن - جدا کردن
bet	شرط بستن
bleed	خون ریزی کردن
hostage	گروگان
saw	اَرّه - اره کردن
feather	پَر - پر درآوردن
carrion	لاشه - مردار
horn	شاخ - بوق - شیپور
tusk	عاج
trunk	تنه - خرطوم - شاخه اصلی
peach	هلو
watermelon	هندوانه
lime	آهک - لیمو ترش
dose	مقدار معین - دُز
abrupt	سریع و ناگهانی
acclaim	تحسین - تحسین کردن
autonomous	مستقل - خود مختار
haphazardly	بدون برنامه - تصادفی
circumvent	دور زدن (مشکل، قانون، ...)
frail	ضعیف - شکننده
heyday	اوج خوشبختی
staple	عمده - اصلی
turbulent	آشفته
astounding	حیرت آور
astute	زیرک
concur	موافقت کردن - agree
petition	دادخواست - درخواست رسمی - درخواست رسمی کردن
relinquish	رها کردن - give up
resilient	دارای قابلیت بازگشت به حالت قبلی
incessant	پیوسته - بی وقفه
in conjunction with	در کنار - همراه با
intrigue	دسیسه کردن - آنتریک کردن
obstruct	مانع شدن - مسدود کردن
recompense	compensation - compensate
well-suited	مناسب
commonplace	عادی - معمولی
comparative	تطبیقی - مقایسه ای - نسبی
extinguish	خاموش کردن - نابود کردن
immense	وسیع - زیاد
stamina	استقامت
brash	پر مدعا
confirm	تایید کردن - تصدیق کردن
discrepancy	اختلاف - تناقض
prosperous	موفق - شکوفا
docile	مطیع - سر به راه
engross	مجذوب کردن - به خود جلب کردن
engage	استخدام کردن - جلب کردن - نامزد کردن
flaw	نقص - کاستی
mammoth	ماموت - خیلی بزرگ
dim	کم نور - کم نور کردن
gigantic	بسیار بزرگ - عظیم
jargon	زبان تخصصی
dormant	inactive
drab	رنگ و رو رفته - کسل کننده
rudiments	مقدمات - basics
skeptic	شکاک - دیر باور
neat	تمیز - مرتب
contract	قرارداد - قرارداد بستن - منقبض شدن
amenity	تسهیل و وسیله رفاه و آسایش
dwell	اقامت داشتن - سکنی گزیدن
encircle	احاطه کردن - محاصره کردن
erratic	unpredictable
mortify	تحقیر کردن - humiliate
conspicuous	جلب توجه کننده - آشکار
eloquent	سخن ور - شیوا
noteworthy	با ارزش - قابل توجه
susceptible	مستعد - احساساتی
dignitary	شخص عالی رتبه
elude	با حیله فرار کردن
facet	وجه - جنبه
oblivious	بی اعتنا - بی خبر
ample	کافی - بیش از نیاز - بزرگ
arduous	دشوار - طاقت فرسا
avert	جلوگیری کردن از وقوع
diligent	سخت کوش
enact	قانون وضع کردن - legislate
feign	وانمود کردن
freshly	تازه - اخیرا
indiscriminate	بدون تبعیض - بدون توجه به عواقب
pinpoint	دقیقا مشخص کردن
withstand	تاب تحمل داشتن - مقاومت کردن
adhere to sth	از قواعد چیزی تبعیت کردن
durable	با دوام
foster	پرورش دادن
insignificant	بی اهمیت - ناچیز
underscore	نمایان کردن - highlight - underline
conscientious	با وجدان
encompass	شامل بودن - احاطه کردن
heighten	بالا بردن - بیشتر کردن
inadvertent	غیر عمدی - unintentional
paramount	مهمترین - ارشد
proficient	ماهر
unlikely	غیر محتمل - بعید
unwarranted	بی جا - نا معقول
agitate	نگران کردن - هم زدن - campaign
discreet	محتاط - ملاحظه گر
evoke	به یاد آوردن
inordinate	بیش از اندازه - excessive
instantly	در یک لحظه - فورا
inundate	غرق شدن - دچار سیل شدن - swamp
mindset	طرز فکر
culminate	به سرانجام رسیدن
demeanor	طرز برخورد
fallacious	مغلطه آمیز - اشتباه
limber	منعطف
means	وسیله - روش
preconception	پیش تصور
antiquated	کهنه - قدیمی
fabricate	ساختن - جعل کردن
accentuate	تاکید کردن - برجسته کردن
disguise	تغییر ظاهر دادن - پنهان کردن
obsolete	از رده خارج شده - کهنه
omit	حذف کردن
outlandish	عجیب و غریب
portray	depict - represent - play
streamline	ساده و کارآمدتر کردن
outburst	فوران - طغیان - انفجار
partisan	هوادار متعصب - چریک
pattern	الگو - نقش و نگار - طرح
philanthropic	بشر دوست
placid	آرام - متین - خونسرد
archaic	کهنه - قدیمی - باستانی
bring about	باعث وقوع (چیزی) شدن
hasten	تسریع کردن - عجله کردن
hue	color
magnitude	بزرگی - اهمیت
oblige	مجبور کردن
overlook	چشم پوشی کردن
compile	گرد آوری کردن - تدوین کردن
formidable	ترس آور - دشوار
intrusive	دخالت آمیز - مزاحمت آمیز
prophet	پیشگو - پیامبر
prophecy	پیشگویی - نبوت
prophesy	پیشگویی کردن
readily	سریع و به آسانی - با میل و رغبت
renown	شُهرت
triumph	پیروزی - پیروز شدن
afford	توان مالی داشتن - توان انجام کاری داشتن
affordable	اقتصادی - قابل انجام
discernible	قابل تشخیص
negligible	کم اهمیت - قابل چشم پوشی
peculiar	منحصر به فرد - غیر عادی
stem from	نشات گرفتن از
tedious	boring
impulsive	(تصمیم یا عمل) بدون فکر و لحظه ای
overt	آشکار - معلوم
upstanding	شریف و درستکار
chaotic	دارای هرج و مرج - شلوغ و بی نظم
exemplify	با مثال نشان دادن
factor in	در نظر گرفتن
gratify	خوشنود و راضی کردن
legitimate	قانونی - قابل پذیرش
lethargy	بی حالی
ridge	خط الراس
marvel	شگفتی - حیرت زده شدن
odd	غیر عادی - (عدد) فرد
profuse	فراوان
succinct	مختصر و واضح - concise
curative	شفا بخش - healing
debilitate	ضعیف کردن
take sth on	متقبل شدن
tranquility	آرامش
assort	جور کردن و کنار هم چیدن
caliber	میزان کارآیی - کالیبر
precious	گران بها - با ارزش
unravel	باز کردن گره - گره گشایی کردن
forfeit	از دست دادن - محروم شدن
precarious	بی ثبات - پر مخاطره
sporadic	هر چند وقت یک بار
truncate	کوتاه کردن - بخشی از چیزی را بریدن
wanton	بی دلیل
woo	تلاش کردن برای جلب حمایت
cement	سیمان
cave	غار
paddle	پارو (کوتاه)
wool	پشم
chaos	هرج و مرج - بی نظمی
bland	ملایم - بی طعم
raw	خام - نپخته
miserable	بد بخت - فلاکت بار - بسیار بد
incline	ترجیح دادن - شیب داشتن - خم کردن
treat sb (for sth/with sth)	با چیزی به کسی مراقبت پزشکی دادن
pimple	جوش
crow	کلاغ
diverge	واگرا شدن - از هم دور شدن
tidy	مرتب - منظم
account for sth	دلیل بودن برای - دلیل آوردن برای
barrel	بشکه
misuse	سوء استفاده کردن - abuse
amaze	شگفت زده کردن - متحیر کردن
hereby	بدین وسیله
sprinkle	پاشیدن - پراکنده کردن
boar	گراز
crawl	خزیدن - چهار دست و پا رفتن
tear	پاره کردن - کندن - گریه کردن
heritage	میراث
legacy	میراث - قدیمی
amnesia	بیماری فراموشی
depreciation	استهلاک - افت ارزش مالی
bite	گاز - گاز گرفتن - نیش - نیش زدن
differentiate	تمیز دادن - تفاوت قایل شدن - distinguish
pollen	گرده گیاهان
reign	حکومت - سلطنت
pollinate	گرده افشانی کردن
constellation	صورت فلکی
hatchling	نوزاد تازه از تخم بیرون آمده
cetacean	پستانداران آبزی
equator	استوا
intrusion	مداخله - مزاحمت - ورود بی اجازه
to be long overdue	خیلی وقت پیش باید انجام میشد
skeleton	اسکلت - استخوان بندی
avoid	اجتناب کردن
repel	دفع کردن
runoff	جاری شدن آب
arctic	شمالگان - مربوط به قطب شمال
pest	آفت
principally	mainly - chiefly
demonstrate	protest - اثبات کردن - نشان دادن
ascend	بالا رفتن - rise
wheel	چرخ - فرمان یا سکان
starfish	ستاره دریایی
purport	معنی کلی - به نظر رسیدن
meteorology	هواشناسی
envelop	در پاکت گذاشتن - کامل پوشاندن
bark	پوست درخت - پارس - پارس کردن
caterpillar	لارو پروانه یا شب پره
symbiosis	همزیستی
abound in	فراوان داشتن
lend	قرض دادن
pretend	وانمود کردن - تظاهر کردن
scholarly	درس خوان - آکادمیک
zenith	بالاترین نقطه - اوج
concise	مختصر و واضح
affect	تحت تاثیر قرار دادن
conquer	غلبه کردن
effect	اثر - تاثیر - موجب شدن
significant	با اهمیت - معنی دار
hygiene	بهداشت - نظافت
coin	سکه - (واژه جدید) ساختن
divulge	reveal
steadfast	ثابت قدم - firm
qualm	نگرانی - دلواپسی
causality	رابطه علت و معلول
substantiate	verify - confirm
sales pitch	بازاریابی محصول
theology	الهیات - خدا شناسی
recap / recapitulate	review
narcissism	خود شیفتگی
trainee	کار آموز
camouflage	استتار
inedible	غیر خوراکی
inhospitable	نامساعد برای زندگی
terrace	کرت بندی در مناطق شیب دار - ردیف منازل شبیه هم
nerve-racking	اعصاب خورد کن
drag down	پایین کشیدن
rattle off	سریع و بدون فکر صحبت کردن
content	راضی - قانع - محتوا
edible	خوراکی
complement	مکمل - مکمل بودن
dramatic	نمایشی - ناگهانی - پر هیجان
utility	فایده - سود
ailment	not serious illness
empathy	توانایی درک احساس دیگران
